old_id	new_id	disposition	tier	file	section	note
B-55	API-01	kept	Q1	API	1. Contracts and versioning	
B-69	API-02	kept	Q1	API	1. Contracts and versioning	
B-70a	API-03	kept	Q1	API	1. Contracts and versioning	
A-17	API-04	kept	Q2	API	1. Contracts and versioning	
B-56	API-05	kept	Q2	API	1. Contracts and versioning	
C-Q53	API-06	kept	Q2	API	1. Contracts and versioning	
A-19	API-07	kept	Q2	API	2. Idempotency and bulk operations	
B-57	API-08	kept	Q2	API	2. Idempotency and bulk operations	
C-Q32	API-09	kept	Q2	API	2. Idempotency and bulk operations	
C-Q41	API-10	kept	Q1	API	3. Search	
C-Q40	API-11	kept	Q2	API	3. Search	
C-Q42	API-12	kept	Q2	API	3. Search	
C-Q43	API-13	kept	Q2	API	3. Search	
C-Q44	API-14	kept	Q2	API	3. Search	
C-Q45	API-15	kept	Q3	API	3. Search	
C-Q46	API-16	kept	Q1	API	4. Caching	
A-24	API-17	kept	Q2	API	4. Caching	
C-Q47	API-18	kept	Q2	API	4. Caching	
C-Q48	API-19	kept	Q2	API	4. Caching	
C-Q49	API-20	kept	Q2	API	4. Caching	
C-Q50	API-21	kept	Q2	API	4. Caching	
A-39	ARCH-01	kept	Q2	ARCH	1. Service boundaries and distributed data	
A-40	ARCH-02	kept	Q2	ARCH	1. Service boundaries and distributed data	
B-71	ARCH-03	kept	Q2	ARCH	1. Service boundaries and distributed data	
C-Q17	ARCH-04	kept	Q2	ARCH	1. Service boundaries and distributed data	
A-2	ARCH-05	kept	Q3	ARCH	1. Service boundaries and distributed data	
A-38	ARCH-06	kept	Q3	ARCH	1. Service boundaries and distributed data	
A-41	ARCH-07	kept	Q3	ARCH	1. Service boundaries and distributed data	
A-42	ARCH-08	kept	Q2	ARCH	2. Resilience	
B-61	ARCH-09	kept	Q2	ARCH	2. Resilience	
B-62	ARCH-10	kept	Q3	ARCH	2. Resilience	
B-65	ARCH-11	kept	Q1	ARCH	3. Scaling and system composition	
B-66	ARCH-12	kept	Q1	ARCH	3. Scaling and system composition	
B-67	ARCH-13	kept	Q2	ARCH	3. Scaling and system composition	
C-Q58	ARCH-14	kept	Q2	ARCH	3. Scaling and system composition	
A-29	ARCH-15	kept	Q3	ARCH	3. Scaling and system composition	
A-30	ARCH-16	kept	Q3	ARCH	3. Scaling and system composition	
B-68	ARCH-17	kept	Q3	ARCH	3. Scaling and system composition	
B-72	ARCH-18	kept	Q3	ARCH	3. Scaling and system composition	
B-73	ARCH-19	kept	Q3	ARCH	3. Scaling and system composition	
A-3	DB-01	kept	Q1	DB	1. Data modelling and polyglot persistence	
A-4	DB-02	kept	Q2	DB	1. Data modelling and polyglot persistence	
C-Q30	DB-03	kept	Q2	DB	1. Data modelling and polyglot persistence	
A-6	DB-04	kept	Q1	DB	2. Transactions, locking and concurrency	
B-58	DB-05	kept	Q1	DB	2. Transactions, locking and concurrency	
A-7	DB-06	kept	Q2	DB	2. Transactions, locking and concurrency	
